review_id,enrollment_id,rating,review_text,review_date
40,81,3,"Standar saja, sesuai ekspektasi.",2025-03-03
41,82,4,"Sangat puas, worth it banget!",2026-04-09
42,84,5,"Sangat puas, worth it banget!",2026-02-25
43,87,5,Konten up to date dan relevan dengan kebutuhan kerja.,2025-12-21
44,90,5,"Sangat puas, worth it banget!",2026-04-24
45,91,4,"Instrukturnya kompeten, penjelasan step by step.",2025-04-06
46,93,5,Konten up to date dan relevan dengan kebutuhan kerja.,2025-05-17
47,95,5,"Sangat puas, worth it banget!",2025-08-16
48,98,4,"Instrukturnya kompeten, penjelasan step by step.",2025-09-07
49,100,2,Modul terlalu panjang dan membosankan.,2025-02-18
50,101,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-09-07
51,103,5,"Kursus bagus, cocok untuk pemula.",2026-01-30
52,105,5,"Instrukturnya kompeten, penjelasan step by step.",2026-04-10
53,106,5,"Instrukturnya kompeten, penjelasan step by step.",2025-10-02
54,109,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-08-13
55,110,5,Konten up to date dan relevan dengan kebutuhan kerja.,2025-07-21
56,114,3,"Standar saja, sesuai ekspektasi.",2026-04-15
57,117,5,"Kursus bagus, cocok untuk pemula.",2025-01-23
58,118,4,"Instrukturnya kompeten, penjelasan step by step.",2026-04-04
59,120,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-10-06
60,122,4,"Sangat puas, worth it banget!",2025-11-11
61,124,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-02-08
62,128,5,"Instrukturnya kompeten, penjelasan step by step.",2026-03-01
63,129,2,Kontennya sudah agak outdated.,2026-08-05
64,130,4,"Sangat puas, worth it banget!",2026-08-24
65,131,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-23
66,134,5,"Sangat puas, worth it banget!",2025-04-16
67,140,4,"Sangat puas, worth it banget!",2026-08-01
68,143,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-04-11
69,144,5,"Kursus bagus, cocok untuk pemula.",2024-09-20
70,145,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-06-29
71,148,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-06-22
72,152,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-04-18
73,153,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-03-07
74,154,5,"Kursus bagus, cocok untuk pemula.",2026-08-14
75,156,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-02-23
76,158,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2024-10-26
77,159,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-09-06
78,160,4,"Sangat puas, worth it banget!",2025-02-04
79,161,5,"Instrukturnya kompeten, penjelasan step by step.",2026-06-26
80,163,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-04-20
81,164,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-04-12
82,166,5,"Sangat puas, worth it banget!",2026-04-06
83,169,5,"Instrukturnya kompeten, penjelasan step by step.",2026-08-18
84,170,4,"Sangat puas, worth it banget!",2026-06-18
85,171,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-02-13
86,173,4,"Sangat puas, worth it banget!",2026-02-03
87,174,5,"Instrukturnya kompeten, penjelasan step by step.",2026-08-15
88,177,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-08-05
89,178,5,"Kursus bagus, cocok untuk pemula.",2026-06-13
90,181,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-04-09
91,184,5,"Sangat puas, worth it banget!",2025-03-26
92,185,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-06-02
93,187,4,"Instrukturnya kompeten, penjelasan step by step.",2026-04-03
94,188,3,"Standar saja, sesuai ekspektasi.",2026-05-29
95,189,4,"Kursus bagus, cocok untuk pemula.",2026-02-15
96,190,5,"Instrukturnya kompeten, penjelasan step by step.",2026-03-26
97,191,5,"Sangat puas, worth it banget!",2025-03-03
98,192,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-04-19
99,193,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-10-03
100,196,5,"Sangat puas, worth it banget!",2026-05-01
101,201,3,"Standar saja, sesuai ekspektasi.",2025-10-24
102,202,5,"Sangat puas, worth it banget!",2024-02-21
103,204,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-09-18
104,208,5,"Sangat puas, worth it banget!",2025-11-22
105,209,3,"Standar saja, sesuai ekspektasi.",2026-04-15
106,211,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-09-15
107,212,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-03-26
108,213,4,"Sangat puas, worth it banget!",2026-07-03
109,214,3,Lumayan membantu untuk basic knowledge.,2024-10-08
110,217,4,"Kursus bagus, cocok untuk pemula.",2024-11-16
111,218,4,"Instrukturnya kompeten, penjelasan step by step.",2026-05-28
112,220,4,"Instrukturnya kompeten, penjelasan step by step.",2026-07-11
113,221,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-20
114,222,4,"Kursus bagus, cocok untuk pemula.",2026-03-21
115,223,4,"Kursus bagus, cocok untuk pemula.",2026-08-05
116,226,5,"Instrukturnya kompeten, penjelasan step by step.",2026-09-16
117,228,3,Lumayan membantu untuk basic knowledge.,2026-01-02
118,231,5,"Kursus bagus, cocok untuk pemula.",2026-01-04
119,239,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-05-19
120,240,4,"Sangat puas, worth it banget!",2026-03-04
121,250,1,Modul terlalu panjang dan membosankan.,2026-08-24
122,252,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-07-13
123,253,4,"Instrukturnya kompeten, penjelasan step by step.",2025-07-21
124,255,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-01-18
125,258,3,Lumayan membantu untuk basic knowledge.,2026-01-03
126,259,5,"Kursus bagus, cocok untuk pemula.",2026-03-10
127,260,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-12-11
128,261,5,"Instrukturnya kompeten, penjelasan step by step.",2025-11-19
129,262,4,"Kursus bagus, cocok untuk pemula.",2024-11-26
130,263,4,"Instrukturnya kompeten, penjelasan step by step.",2026-01-14
131,264,3,Lumayan membantu untuk basic knowledge.,2026-05-15
132,268,4,"Instrukturnya kompeten, penjelasan step by step.",2026-03-25
133,269,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-05-12
134,272,3,"Cukup baik, tapi bisa lebih baik lagi.",2024-12-30
135,273,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2024-11-15
136,274,5,"Instrukturnya kompeten, penjelasan step by step.",2025-11-21
137,278,5,"Instrukturnya kompeten, penjelasan step by step.",2024-10-28
138,283,3,"Standar saja, sesuai ekspektasi.",2025-11-20
139,284,4,"Kursus bagus, cocok untuk pemula.",2025-09-10
140,285,5,"Instrukturnya kompeten, penjelasan step by step.",2026-08-02
141,287,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-12
142,288,3,"Standar saja, sesuai ekspektasi.",2026-06-16
143,289,4,"Instrukturnya kompeten, penjelasan step by step.",2026-10-08
144,291,4,"Sangat puas, worth it banget!",2026-09-02
145,294,5,Konten up to date dan relevan dengan kebutuhan kerja.,2024-08-05
146,295,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-08-11
147,296,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-04-27
148,297,4,"Kursus bagus, cocok untuk pemula.",2025-09-22
149,300,3,"Standar saja, sesuai ekspektasi.",2026-01-07
150,302,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-11-23
151,306,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-16
152,309,2,Audio dan video kurang jelas di beberapa modul.,2026-05-14
153,311,4,"Kursus bagus, cocok untuk pemula.",2025-04-22
154,314,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-04-06
155,316,4,"Kursus bagus, cocok untuk pemula.",2026-01-22
156,320,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-19
157,321,5,"Kursus bagus, cocok untuk pemula.",2026-06-22
158,324,5,"Kursus bagus, cocok untuk pemula.",2026-02-25
159,327,5,"Instrukturnya kompeten, penjelasan step by step.",2025-09-07
160,329,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2024-10-19
161,331,5,"Sangat puas, worth it banget!",2025-07-04
162,332,4,"Sangat puas, worth it banget!",2026-05-16
163,334,3,"Standar saja, sesuai ekspektasi.",2026-09-02
164,336,5,"Sangat puas, worth it banget!",2025-04-02
165,337,5,"Kursus bagus, cocok untuk pemula.",2026-09-10
166,338,5,"Kursus bagus, cocok untuk pemula.",2025-03-05
167,339,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-01-20
168,340,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-05-05
169,341,5,"Instrukturnya kompeten, penjelasan step by step.",2025-08-11
170,345,4,"Instrukturnya kompeten, penjelasan step by step.",2026-05-09
171,347,4,"Sangat puas, worth it banget!",2025-06-19
172,349,5,"Instrukturnya kompeten, penjelasan step by step.",2025-10-18
173,351,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-06-20
174,355,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-08-16
175,359,5,"Instrukturnya kompeten, penjelasan step by step.",2025-11-08
176,362,4,"Instrukturnya kompeten, penjelasan step by step.",2025-11-03
177,364,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2024-11-21
178,366,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-01-21
179,367,4,"Instrukturnya kompeten, penjelasan step by step.",2026-06-02
180,369,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-03-29
181,370,1,"Kurang studi kasus, terlalu teori.",2026-05-26
182,372,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-09-25
183,373,5,"Instrukturnya kompeten, penjelasan step by step.",2026-09-03
184,375,5,"Instrukturnya kompeten, penjelasan step by step.",2026-10-02
185,377,5,"Instrukturnya kompeten, penjelasan step by step.",2025-03-20
186,379,4,"Kursus bagus, cocok untuk pemula.",2026-09-16
187,380,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-06-30
188,383,5,"Instrukturnya kompeten, penjelasan step by step.",2026-03-24
189,385,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-06-22
190,386,1,Modul terlalu panjang dan membosankan.,2026-03-23
191,388,4,"Kursus bagus, cocok untuk pemula.",2023-12-12
192,390,5,"Instrukturnya kompeten, penjelasan step by step.",2026-10-05
193,395,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-07-10
194,397,5,"Instrukturnya kompeten, penjelasan step by step.",2026-06-25
195,399,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-02-15
196,400,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-06-23
197,404,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-03-14
198,406,4,"Kursus bagus, cocok untuk pemula.",2026-07-20
199,407,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-12
200,412,5,"Kursus bagus, cocok untuk pemula.",2026-08-03
201,413,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-02-26
202,419,4,"Kursus bagus, cocok untuk pemula.",2026-03-05
203,421,5,"Sangat puas, worth it banget!",2024-02-14
204,425,4,"Sangat puas, worth it banget!",2026-07-05
205,428,1,Audio dan video kurang jelas di beberapa modul.,2026-08-09
206,436,3,Lumayan membantu untuk basic knowledge.,2026-09-11
207,438,4,"Sangat puas, worth it banget!",2025-09-27
208,439,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-08-31
209,440,4,"Sangat puas, worth it banget!",2026-09-13
210,441,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-02-28
211,443,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-09-13
212,444,4,"Instrukturnya kompeten, penjelasan step by step.",2024-07-17
213,445,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-02-25
214,446,3,"Cukup baik, tapi bisa lebih baik lagi.",2025-06-03
215,447,5,"Instrukturnya kompeten, penjelasan step by step.",2025-09-19
216,449,3,Lumayan membantu untuk basic knowledge.,2025-08-07
217,457,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-01-13
218,460,5,"Kursus bagus, cocok untuk pemula.",2026-08-11
219,461,5,Konten up to date dan relevan dengan kebutuhan kerja.,2024-10-29
220,463,5,"Kursus bagus, cocok untuk pemula.",2026-05-05
221,464,3,Lumayan membantu untuk basic knowledge.,2026-04-02
222,465,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-08-22
223,466,4,"Instrukturnya kompeten, penjelasan step by step.",2026-08-06
224,467,5,"Sangat puas, worth it banget!",2026-04-16
225,473,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-02-24
226,476,1,"Kurang studi kasus, terlalu teori.",2025-06-19
227,478,4,"Instrukturnya kompeten, penjelasan step by step.",2026-03-25
228,479,5,"Kursus bagus, cocok untuk pemula.",2026-05-11
229,480,3,"Cukup baik, tapi bisa lebih baik lagi.",2025-08-17
230,482,2,"Materinya terlalu cepat, sulit diikuti.",2024-08-06
231,483,3,"Cukup baik, tapi bisa lebih baik lagi.",2025-08-16
232,484,5,"Sangat puas, worth it banget!",2026-05-18
233,488,5,"Kursus bagus, cocok untuk pemula.",2026-08-18
234,489,2,Audio dan video kurang jelas di beberapa modul.,2026-04-26
235,491,5,"Kursus bagus, cocok untuk pemula.",2026-03-21
236,493,5,"Sangat puas, worth it banget!",2025-08-19
237,494,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-13
238,495,4,"Kursus bagus, cocok untuk pemula.",2026-06-25
239,498,5,"Kursus bagus, cocok untuk pemula.",2025-09-13
240,500,5,"Instrukturnya kompeten, penjelasan step by step.",2026-09-09
241,501,5,Konten up to date dan relevan dengan kebutuhan kerja.,2025-04-27
242,503,5,"Sangat puas, worth it banget!",2026-02-15
243,510,1,Modul terlalu panjang dan membosankan.,2025-12-28
244,514,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-01-26
245,515,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-03-17
246,516,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-14
247,521,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-18
248,525,5,"Kursus bagus, cocok untuk pemula.",2026-08-09
249,527,4,"Kursus bagus, cocok untuk pemula.",2026-06-09
250,528,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-12-08
251,529,4,"Sangat puas, worth it banget!",2026-06-08
252,530,4,"Instrukturnya kompeten, penjelasan step by step.",2024-06-15
253,531,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-06-21
254,537,5,"Instrukturnya kompeten, penjelasan step by step.",2026-08-23
255,540,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-06-18
256,542,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-04
257,543,1,"Materinya terlalu cepat, sulit diikuti.",2026-06-04
258,544,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-05-20
259,545,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-01-20
260,546,4,"Instrukturnya kompeten, penjelasan step by step.",2025-09-25
261,554,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-09-07
262,555,3,Lumayan membantu untuk basic knowledge.,2025-10-31
263,556,4,"Sangat puas, worth it banget!",2026-04-29
264,557,5,"Sangat puas, worth it banget!",2026-03-20
265,558,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-05-18
266,559,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-10
267,560,5,"Kursus bagus, cocok untuk pemula.",2026-09-03
268,562,5,"Kursus bagus, cocok untuk pemula.",2025-08-10
269,568,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-08-04
270,569,5,"Kursus bagus, cocok untuk pemula.",2026-05-17
271,570,2,Modul terlalu panjang dan membosankan.,2026-03-16
272,572,4,"Kursus bagus, cocok untuk pemula.",2025-10-03
273,574,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2024-09-22
274,577,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-09-05
275,580,2,Modul terlalu panjang dan membosankan.,2025-05-13
276,582,4,"Instrukturnya kompeten, penjelasan step by step.",2025-09-06
277,585,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-08-03
278,586,5,"Kursus bagus, cocok untuk pemula.",2026-01-14
279,587,4,Konten up to date dan relevan dengan kebutuhan kerja.,2024-11-10
280,589,5,Konten up to date dan relevan dengan kebutuhan kerja.,2025-11-21
281,592,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-02-04
282,594,4,"Instrukturnya kompeten, penjelasan step by step.",2026-03-02
283,598,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-02-28
284,599,2,"Materinya terlalu cepat, sulit diikuti.",2025-07-15
285,602,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-03-30
286,603,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-02-08
287,607,2,"Materinya terlalu cepat, sulit diikuti.",2026-06-14
288,609,4,"Kursus bagus, cocok untuk pemula.",2026-06-27
289,613,4,"Kursus bagus, cocok untuk pemula.",2026-07-27
290,615,5,"Sangat puas, worth it banget!",2026-07-20
291,617,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-26
292,619,5,"Kursus bagus, cocok untuk pemula.",2024-10-24
293,623,5,"Kursus bagus, cocok untuk pemula.",2026-01-01
294,628,3,Lumayan membantu untuk basic knowledge.,2026-08-10
295,629,4,"Sangat puas, worth it banget!",2026-08-12
296,631,5,"Sangat puas, worth it banget!",2026-02-08
297,633,4,"Instrukturnya kompeten, penjelasan step by step.",2026-04-03
298,635,1,Modul terlalu panjang dan membosankan.,2026-08-19
299,639,5,"Kursus bagus, cocok untuk pemula.",2026-08-05
300,640,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-03-01
301,642,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-08-26
302,643,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-10-07
303,644,4,"Instrukturnya kompeten, penjelasan step by step.",2026-02-11
304,645,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-05-23
305,649,5,"Kursus bagus, cocok untuk pemula.",2026-02-14
306,651,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-01-25
307,652,2,"Materinya terlalu cepat, sulit diikuti.",2026-05-30
308,653,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-05-14
309,659,5,Konten up to date dan relevan dengan kebutuhan kerja.,2025-11-30
310,662,4,"Instrukturnya kompeten, penjelasan step by step.",2025-12-14
311,666,5,"Instrukturnya kompeten, penjelasan step by step.",2026-03-01
312,671,3,"Standar saja, sesuai ekspektasi.",2026-08-21
313,674,3,Lumayan membantu untuk basic knowledge.,2026-01-04
314,675,4,"Kursus bagus, cocok untuk pemula.",2026-06-01
315,676,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-04-22
316,677,5,"Instrukturnya kompeten, penjelasan step by step.",2025-10-14
317,678,1,Modul terlalu panjang dan membosankan.,2026-08-12
318,680,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-06-23
319,683,5,"Sangat puas, worth it banget!",2024-05-12
320,684,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-09-04
321,685,5,"Instrukturnya kompeten, penjelasan step by step.",2026-07-24
322,687,5,"Sangat puas, worth it banget!",2026-04-01
323,689,4,"Kursus bagus, cocok untuk pemula.",2026-09-01
324,690,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-08
325,691,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-29
326,695,3,"Standar saja, sesuai ekspektasi.",2025-02-26
327,696,5,"Kursus bagus, cocok untuk pemula.",2026-06-10
328,697,3,"Standar saja, sesuai ekspektasi.",2025-06-06
329,698,5,"Kursus bagus, cocok untuk pemula.",2024-04-09
330,699,5,"Kursus bagus, cocok untuk pemula.",2026-01-26
331,700,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-20
332,701,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-08-26
333,702,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-01-04
334,706,5,"Instrukturnya kompeten, penjelasan step by step.",2026-01-25
335,712,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-01
336,714,5,"Sangat puas, worth it banget!",2026-04-30
337,717,5,"Kursus bagus, cocok untuk pemula.",2026-08-03
338,718,5,"Sangat puas, worth it banget!",2026-07-28
339,720,2,Audio dan video kurang jelas di beberapa modul.,2026-08-21
340,722,2,"Kurang studi kasus, terlalu teori.",2026-07-16
341,723,4,"Sangat puas, worth it banget!",2025-01-10
342,725,2,"Materinya terlalu cepat, sulit diikuti.",2025-03-28
343,726,5,"Kursus bagus, cocok untuk pemula.",2026-01-07
344,736,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-03-13
345,738,4,"Kursus bagus, cocok untuk pemula.",2026-07-27
346,741,5,"Kursus bagus, cocok untuk pemula.",2025-06-28
347,742,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-08-30
348,743,3,"Cukup baik, tapi bisa lebih baik lagi.",2025-11-14
349,748,4,"Instrukturnya kompeten, penjelasan step by step.",2026-06-30
350,749,5,"Instrukturnya kompeten, penjelasan step by step.",2026-04-24
351,750,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-06-11
352,755,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-04-06
353,756,5,"Sangat puas, worth it banget!",2024-08-03
354,757,3,Lumayan membantu untuk basic knowledge.,2026-05-11
355,759,4,"Instrukturnya kompeten, penjelasan step by step.",2025-07-24
356,760,5,"Kursus bagus, cocok untuk pemula.",2025-07-15
357,767,5,"Kursus bagus, cocok untuk pemula.",2025-09-20
358,768,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-28
359,769,2,"Kurang studi kasus, terlalu teori.",2024-11-11
360,771,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-04-30
361,777,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-10-13
362,781,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-05-01
363,782,5,"Sangat puas, worth it banget!",2026-06-24
364,784,1,"Kurang studi kasus, terlalu teori.",2026-09-21
365,785,5,"Kursus bagus, cocok untuk pemula.",2025-08-21
366,787,2,Modul terlalu panjang dan membosankan.,2026-08-13
367,792,5,"Sangat puas, worth it banget!",2024-07-09
368,795,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-02-14
369,797,5,"Instrukturnya kompeten, penjelasan step by step.",2026-07-07
370,800,5,"Kursus bagus, cocok untuk pemula.",2026-09-15
371,803,4,"Sangat puas, worth it banget!",2026-01-26
372,806,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-05
373,807,2,"Kurang studi kasus, terlalu teori.",2025-08-19
374,808,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-24
375,809,4,"Sangat puas, worth it banget!",2026-05-07
376,812,2,Modul terlalu panjang dan membosankan.,2026-09-14
377,813,4,"Sangat puas, worth it banget!",2026-08-20
378,818,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-06-04
379,819,5,"Sangat puas, worth it banget!",2026-05-05
380,821,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-09-06
381,824,5,"Kursus bagus, cocok untuk pemula.",2026-01-22
382,828,1,"Materinya terlalu cepat, sulit diikuti.",2025-12-26
383,832,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-10-04
384,835,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-07-11
385,844,4,"Instrukturnya kompeten, penjelasan step by step.",2026-01-24
386,845,4,Konten up to date dan relevan dengan kebutuhan kerja.,2026-06-07
387,851,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-10-22
388,852,4,"Kursus bagus, cocok untuk pemula.",2026-01-09
389,854,4,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-05-07
390,860,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-10-27
391,861,5,"Kursus bagus, cocok untuk pemula.",2026-07-19
392,862,4,Konten up to date dan relevan dengan kebutuhan kerja.,2025-08-15
393,863,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-04-15
394,866,3,"Cukup baik, tapi bisa lebih baik lagi.",2026-09-23
395,868,4,"Sangat puas, worth it banget!",2024-11-12
396,869,3,"Standar saja, sesuai ekspektasi.",2026-06-06
397,871,1,Modul terlalu panjang dan membosankan.,2026-05-12
398,874,5,Konten up to date dan relevan dengan kebutuhan kerja.,2026-06-19
399,875,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-05-04
400,876,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2026-07-04
401,880,5,"Kursus bagus, cocok untuk pemula.",2026-07-28
402,882,5,"Materinya jelas dan mudah dipahami, sangat membantu!",2025-12-28
